Post_ID,Post_DateTime,User,Post_Text,Content_Category,Hashtag,Likes,Comments,Shares
1,2026-08-21 15:50:00,user_09,Post about entertainment and #Startup,Entertainment,#Startup,814,37.0,33.0
2,2026-08-12 12:10:00,user_21,Post about education and #CloudComputing,Education,#CloudComputing,2021,420.0,36.0
3,2026-08-03 19:30:00,user_16,Post about sports and #Analytics,Sports,#Analytics,1810,179.0,6.0
4,2026-08-09 04:40:00,user_25,Post about entertainment and #Coding,Entertainment,#Coding,941,360.0,268.0
5,2026-08-10 23:00:00,user_06,Post about business and #Tech,Business,#Tech,707,235.0,77.0
6,2026-08-21 00:30:00,user_28,Post about education and #DataScience,Education,#DataScience,2361,294.0,212.0
7,2026-08-15 11:00:00,user_17,Post about entertainment and #AI,Entertainment,#AI,1097,90.0,247.0
8,2026-08-08 05:10:00,user_21,Post about business and #Tech,Business,#Tech,384,171.0,173.0
9,2026-08-04 09:20:00,user_19,Post about lifestyle and #Programming,Lifestyle,#Programming,347,153.0,233.0
10,2026-08-01 09:10:00,user_23,Post about sports and #Tech,Sports,#Tech,505,1.0,29.0
11,2026-08-20 03:00:00,user_12,Post about lifestyle and #MachineLearning,Lifestyle,#MachineLearning,1896,377.0,1.0
12,2026-08-24 00:40:00,user_03,Post about education and #AI,Education,#AI,795,429.0,168.0
13,2026-08-12 01:10:00,user_16,Post about technology and #WebDevelopment,Technology,#WebDevelopment,1216,119.0,70.0
14,2026-08-04 07:40:00,user_07,Post about entertainment and #WebDevelopment,Entertainment,#WebDevelopment,134,337.0,251.0
15,2026-08-14 09:50:00,user_29,Post about education and #Tech,Education,#Tech,625,367.0,170.0
16,2026-08-08 03:30:00,user_04,Post about lifestyle and #Coding,Lifestyle,#Coding,334,124.0,222.0
17,2026-08-13 02:20:00,user_02,Post about education and #AI,Education,#AI,2245,377.0,10.0
18,2026-08-19 19:40:00,user_18,Post about sports and #Coding,Sports,#Coding,918,143.0,276.0
19,2026-08-25 14:20:00,user_17,Post about entertainment and #Coding,Entertainment,#Coding,863,200.0,97.0
20,2026-08-07 23:20:00,user_02,Post about sports and #MachineLearning,Sports,#MachineLearning,281,125.0,37.0
21,2026-08-23 20:10:00,user_05,Post about technology and #WebDevelopment,Technology,#WebDevelopment,2016,278.0,47.0
22,2026-08-10 21:40:00,user_11,Post about sports and #Startup,Sports,#Startup,1368,367.0,271.0
23,2026-08-20 02:30:00,user_26,Post about entertainment and #DataScience,Entertainment,#DataScience,1985,482.0,154.0
24,2026-08-21 07:40:00,user_21,Post about business and #Coding,Business,#Coding,993,114.0,178.0
25,2026-08-06 12:30:00,user_02,Post about entertainment and #MachineLearning,Entertainment,#MachineLearning,126,426.0,92.0
26,2026-08-25 01:30:00,user_26,Post about education and #Innovation,Education,#Innovation,415,56.0,78.0
27,2026-08-23 18:30:00,user_25,Post about lifestyle and #CloudComputing,Lifestyle,#CloudComputing,1133,273.0,20.0
28,2026-08-15 23:00:00,user_24,Post about technology and #Innovation,Technology,#Innovation,2221,458.0,172.0
29,2026-08-25 00:50:00,user_21,Post about education and #Python,Education,#Python,2191,131.0,
30,2026-08-03 17:00:00,user_05,Post about entertainment and #DataScience,Entertainment,#DataScience,401,63.0,91.0
31,2026-08-06 00:40:00,user_11,Post about entertainment and #Tech,Entertainment,#Tech,194,190.0,300.0
32,2026-08-15 10:20:00,user_15,Post about business and #Analytics,Business,#Analytics,2431,170.0,132.0
33,2026-08-18 04:00:00,user_28,Post about sports and #Programming,Sports,#Programming,1791,200.0,197.0
34,2026-08-06 02:00:00,user_10,Post about education and #CloudComputing,Education,#CloudComputing,1770,399.0,96.0
35,2026-08-16 16:50:00,user_28,Post about sports and #DataScience,Sports,#DataScience,743,137.0,171.0
36,2026-08-03 15:10:00,user_21,Post about sports and #Python,Sports,#Python,2139,285.0,
37,2026-08-06 08:40:00,user_18,Post about business and #Tech,Business,#Tech,97,157.0,247.0
38,2026-08-23 13:40:00,user_09,Post about sports and #Coding,Sports,#Coding,1336,445.0,
39,2026-08-01 21:40:00,user_02,Post about business and #WebDevelopment,Business,#WebDevelopment,97,216.0,84.0
40,2026-08-08 23:50:00,user_27,Post about lifestyle and #Career,Lifestyle,#Career,2264,22.0,256.0
41,2026-08-05 04:40:00,user_16,Post about business and #CyberSecurity,Business,#CyberSecurity,800,4.0,255.0
42,2026-08-07 02:40:00,user_15,Post about sports and #AI,Sports,#AI,1993,368.0,137.0
43,2026-08-20 16:30:00,user_17,Post about technology and #Tech,Technology,#Tech,1818,300.0,105.0
44,2026-08-20 04:50:00,user_30,Post about technology and #CloudComputing,Technology,#CloudComputing,466,187.0,234.0
45,2026-08-13 07:30:00,user_16,Post about education and #Programming,Education,#Programming,288,363.0,236.0
46,2026-08-23 21:50:00,user_26,Post about technology and #WebDevelopment,Technology,#WebDevelopment,145,283.0,252.0
47,2026-08-01 15:00:00,user_20,Post about business and #AI,Business,#AI,704,143.0,254.0
48,2026-08-18 14:50:00,user_15,Post about sports and #Programming,Sports,#Programming,1748,408.0,276.0
49,2026-08-21 07:30:00,user_18,Post about technology and #Startup,Technology,#Startup,1725,110.0,22.0
50,2026-08-11 22:00:00,user_08,Post about lifestyle and #AI,Lifestyle,#AI,1174,307.0,251.0
51,2026-08-14 23:00:00,user_08,Post about entertainment and #AI,Entertainment,#AI,900,193.0,81.0
52,2026-08-02 23:20:00,user_25,Post about sports and #Innovation,Sports,#Innovation,240,226.0,73.0
53,2026-08-04 07:30:00,user_23,Post about entertainment and #MachineLearning,Entertainment,#MachineLearning,1950,227.0,
